status=uncertified a=1 modes=160 zmax=10000.0 panel=0.5 order=16
spectrum,cut,k1,1-k1,count_1e-3,count_1e-6,count_1e-9
spectrum,32,1,0,11,9,7
cluster,64,12,-4.4408920985006262e-16,0.0037344516915561732,0.056406532915423746,0.016646827963581155,0.0049128508157836618,inf
cluster,64,16,-4.4408920985006262e-16,0.18265368373007862,0.19688660653897327,0.056927483246974303,0.016459922824628718,inf
cluster,64,20,-4.4408920985006262e-16,0.27305881883520067,0.27776669111198038,0.09350241035299639,0.031474978899811809,inf
spectrum,96,1,0,11,9,8
cluster,96,2,0,0,7.7715611723760958e-16,2.8526186966015999e-10,0.00010470783472856654,inf
cluster,96,4,0,1.3322676295501878e-15,2.2204460492503131e-15,9.6967081247036571e-10,0.00042345612714814602,inf
cluster,96,6,0,2.6645352591003757e-15,6.8534067310110913e-13,1.6058086762939958e-08,0.00037625397208559486,inf
cluster,96,8,0,1.0702949637675374e-10,1.7554478093373405e-08,2.3417363525906701e-06,0.00031238349074671118,inf
cluster,96,10,0,1.6664417112899343e-06,8.2134707194314593e-05,0.00016498254329721544,0.00033139753610397842,inf
cluster,96,11,0,8.2134707194314593e-05,0.0034188689005242301,0.0015960691108314632,0.00074511093600568539,inf
cluster,96,12,0,0.0034188689005242301,0.052827218111147323,0.010734161925453312,0.0021811148942090129,inf
cluster,96,16,0,0.18034730925154874,0.19515722377675515,0.039659399183051003,0.0080594912815516711,inf
cluster,96,20,0,0.24498686022689686,0.26046398961240969,0.053876066314832438,0.011144076100038083,inf
spectrum,128,1.0000000000000009,-8.8817841970012523e-16,11,9,8
cluster,128,2,-8.8817841970012523e-16,-2.2204460492503131e-16,-2.2204460492503131e-16,8.6099972028159236e-10,inf,inf
cluster,128,4,-8.8817841970012523e-16,1.1102230246251565e-16,2.2204460492503131e-16,8.8623353276364668e-10,0.0035371716185579501,inf
cluster,128,6,-8.8817841970012523e-16,2.55351295663786e-15,5.8808513614394542e-13,9.3462662473005667e-09,0.00014853749465289755,inf
cluster,128,8,-8.8817841970012523e-16,1.0042289222411682e-10,1.67989584465289e-08,1.1942369269258439e-06,8.4898229980917285e-05,inf
cluster,128,10,-8.8817841970012523e-16,1.6326971352675912e-06,7.9902387726260571e-05,0.00010407973973543316,0.00013557282243563401,inf
cluster,128,11,-8.8817841970012523e-16,7.9902387726260571e-05,0.0032888886377016036,0.0012299694312094831,0.00045998054916416902,inf
cluster,128,12,-8.8817841970012523e-16,0.0032888886377016036,0.050896832650941914,0.0063126577737892542,0.00078294947039782899,inf
cluster,128,16,-8.8817841970012523e-16,0.17975204205806428,0.19506956077328008,0.029974427050522948,0.0046058763522380912,inf
cluster,128,20,-8.8817841970012523e-16,0.24474407552682065,0.25983896796977157,0.0434023191812032,0.0072497259553701236,inf
