1	18	0	0
1	19	[0.0075997316683587352314083668609095011169050331175533 +/- 1.85e-53]	[1.0473384550540762740e-25 +/- 4.47e-45]
1	20	0	0
1	21	[0.011468005314614138740317536978945010158581354761719 +/- 9.19e-53]	[1.3671754453583279307e-25 +/- 1.29e-45]
1	22	0	0
1	23	[-0.016931546540178135446316827872986330424098732366864 +/- 4.97e-52]	[9.6630620160955226065e-26 +/- 1.84e-47]
1	24	0	0
1	25	[0.011719443101558695374749416081470880804485063937382 +/- 4.06e-52]	[2.4491652435273990185e-26 +/- 4.92e-46]
1	26	0	0
1	27	[-0.0028137873787240414776111513735901854083492831699347 +/- 2.15e-53]	[1.3713107193199285949e-25 +/- 1.47e-45]
1	28	0	0
1	29	[-0.0048921010439077945402731818874922994585236005126385 +/- 7.20e-55]	[1.4537267659480394758e-25 +/- 4.23e-45]
1	30	0	0
1	31	[0.0072867082582449943540484260094807515310614518288912 +/- 2.39e-53]	[1.9156827813398183639e-26 +/- 2.50e-46]
1	32	0	0
1	33	[-0.0048923598230292553589870792123793525477865122931198 +/- 3.75e-53]	[1.6733002901632387318e-25 +/- 4.56e-45]
1	34	0	0
1	35	[0.00087149240037336888791707881532614289599068122870216 +/- 9.10e-55]	[1.2311957528953600702e-25 +/- 1.08e-45]
1	36	0	0
1	37	[0.0022088208241111003506305683840616223291126217640660 +/- 4.13e-53]	[1.1652268899177036356e-25 +/- 1.24e-45]
1	38	0	0
1	39	[-0.0030864445275893966258066488255864354029978445616356 +/- 2.21e-53]	[1.8361147657282108145e-25 +/- 8.82e-46]
1	40	0	0
1	41	[0.0020401604389587294500456528302263722352833275569874 +/- 1.28e-53]	[9.0618048874958020326e-26 +/- 4.71e-46]
1	42	0	0
1	43	[-0.00037375188806292619497507995760162917050069011185210 +/- 1.33e-54]	[2.0344347709311823935e-25 +/- 1.31e-45]
1	44	0	0
1	45	[-0.00077360060274524253286054999381045569381300019531519 +/- 3.1e-57]	[1.3842145327623106838e-25 +/- 4.81e-45]
1	46	0	0
1	47	[0.0010630970436660957026079931564213944824673291832482 +/- 2.59e-53]	[1.6586661057030224870e-25 +/- 3.67e-45]
1	48	0	0
1	49	[-0.00077119448879679154933583848203745507203355548259737 +/- 2.70e-54]	[2.5405312368296130466e-25 +/- 3.51e-45]
1	50	0	0
1	51	[0.00032869430786565545555779259023789462596640451955487 +/- 3.88e-54]	[3.9534869748939084902e-26 +/- 4.12e-46]
1	52	0	0
1	53	[-1.1247468736327522419212493462460435939322739360449e-5 +/- 4.47e-55]	[2.3677271995324875311e-25 +/- 4.09e-45]
1	54	0	0
1	55	[-0.00012003574436755508472908655776616233774155118130862 +/- 1.75e-54]	[3.5326236383903332048e-25 +/- 2.56e-45]
1	56	0	0
1	57	[0.00012649393285819751550362792397973578510312118442958 +/- 6.04e-55]	[3.1347976287690567207e-25 +/- 4.47e-45]
1	58	0	0
1	59	[-8.6557913642323689524586568437110013994555221233867e-5 +/- 5.6e-57]	[2.0846326808545276837e-25 +/- 4.01e-45]
1	60	0	0
1	61	[4.6672680072158686465234823457337359481299657554267e-5 +/- 2.58e-55]	[1.1257190968178526909e-25 +/- 4.04e-45]
1	62	0	0
1	63	[-2.1143408093303113874767442669294470767398862835129e-5 +/- 4.91e-55]	[5.1443862856364904864e-26 +/- 1.42e-46]
1	64	0	0
1	65	[8.3057204170039205333121892046109968928175110587065e-6 +/- 2.97e-56]	[2.0406470418931131117e-26 +/- 3.82e-46]
1	66	0	0
1	67	[-2.8840098689336360688374473385939252086497435460279e-6 +/- 4.64e-57]	[7.1511046698854581646e-27 +/- 1.72e-47]
1	68	0	0
1	69	[8.9692161315380324890018995058652899415258372180003e-7 +/- 4.22e-57]	[2.2479363039864046151e-27 +/- 4.80e-47]
1	70	0	0
1	71	[-2.5229702612186903880011550086706110560884761334450e-7 +/- 1.86e-58]	[6.3862730749868933469e-28 +/- 2.57e-48]
2	2	[1.5428045111950942533921155071151812925380165157779 +/- 4.98e-50]	[7.3208776357841657857e-26 +/- 9.72e-47]
2	3	0	0
2	4	[-0.58505098175302772597200751811263456718376100069870 +/- 4.26e-51]	[8.5506985366257058062e-26 +/- 3.61e-46]
2	5	0	0
2	6	[0.057351104016192664976536713521111515749808882934720 +/- 4.88e-52]	[7.8677908761803095011e-26 +/- 2.13e-46]
2	7	0	0
2	8	[-0.039992979888207365478969283185774509029252038789900 +/- 3.31e-52]	[5.4921589379323276088e-26 +/- 1.66e-46]
2	9	0	0
2	10	[-0.084554518981450363438977003938552223166379422892112 +/- 4.59e-52]	[4.9931428048811166942e-26 +/- 1.44e-46]
2	11	0	0
2	12	[0.076662682449854316860347628924645446812280352585353 +/- 2.63e-52]	[8.8122597757077162868e-26 +/- 2.77e-46]
2	13	0	0
2	14	[-0.038486035354462368731794263654811894119975419378093 +/- 3.13e-52]	[1.2945900693160285912e-25 +/- 3.52e-45]
2	15	0	0
2	16	[-0.0025924436650346049857902447761227042972073009147333 +/- 3.58e-53]	[1.5377400902792476882e-25 +/- 3.38e-45]
2	17	0	0
2	18	[0.031751103138358622145572466277128761402611988807531 +/- 1.24e-52]	[1.3431455577383801130e-25 +/- 3.01e-45]
2	19	0	0
2	20	[-0.028629831739232876717304070535496928729623956321375 +/- 2.47e-52]	[5.3487839017426462003e-26 +/- 2.21e-46]
2	21	0	0
2	22	[0.013712170612194276873848047938473397183297369488346 +/- 9.64e-53]	[7.6817181175683089028e-26 +/- 4.64e-46]
2	23	0	0
2	24	[0.0038721098492283054670153050162845748145284225105861 +/- 4.15e-53]	[1.7437641214826293682e-25 +/- 2.08e-45]
2	25	0	0
2	26	[-0.014258349755358287184589173623284329417919691394386 +/- 2.56e-52]	[1.6108076305868441498e-25 +/- 4.39e-45]
2	27	0	0
2	28	[0.012726125118747713820304395256333770387287307240587 +/- 2.56e-52]	[2.3208718445463607996e-26 +/- 3.10e-46]
2	29	0	0
2	30	[-0.0054200390261969888176596393602903234114305389024769 +/- 4.96e-53]	[1.8083815574923793350e-25 +/- 1.23e-45]
2	31	0	0
2	32	[-0.0020675530829609351199536786262998353275378534862791 +/- 1.55e-53]	[1.8401029872348377357e-25 +/- 2.50e-45]
2	33	0	0
2	34	[0.0061945151880794712151640376968347647062618782013833 +/- 3.36e-53]	[5.3296897796804542130e-26 +/- 3.04e-46]
2	35	0	0
2	36	[-0.0055441074146853091396052819098572315131428965963537 +/- 3.90e-53]	[2.4156232245047915863e-25 +/- 1.46e-45]
2	37	0	0
